id,streetName,city,buildingNr,postalCode,apartmentNr
1,3rd,Pinhais,90,18-209,192
2,Fairview,Xindong,6,55-555,7
3,Springview,Bao’an,9,11-678,136
4,Longview,Jansenville,75,43-080,44
5,Starling,Lianovérgi,18,31-421,7
6,Huxley,Yonggu,33,38-300,198
7,Mcguire,São Lourenço da Mata,6,38-300,100
8,Dakota,Liuli,63,11-456,36
9,Sachs,Cuihuangkou,75,31-421,195
10,Schiller,Maisons-Alfort,47,55-555,91
11,Heath,Lojejerkrajan,15,11-678,128
12,Moland,Kāleke Mandi,3,18-209,138
13,Sauthoff,Kuantan,77,38-300,169
14,Esch,Camilaca,46,15-145,85
15,Parkside,Kiboga,73,67-023,129
16,Knutson,Malibong East,80,15-145,159
17,Darwin,Usukhchay,61,15-145,9
18,Bellgrove,Oulmes,55,18-209,140
19,Steensland,Kavásilas,28,11-123,17
20,Commercial,Sanzhang,49,22-446,32
21,Bartillon,Mercedes,29,11-321,196
22,Chinook,Loakulu,55,12-123,100
23,Village Green,Cruz del Eje,59,67-023,86
24,Melby,Suvorovskaya,25,55-555,183
25,Hanover,Baohe,19,11-321,67
26,Sachs,Lyon,43,67-023,122
27,Troy,Canavieiras,50,11-123,195
28,Eliot,Ploso,36,38-300,68
29,Paget,Huacho,75,38-300,142
30,Donald,Shatian,76,22-446,98
31,Kinsman,Estarreja,9,11-321,40
32,Hintze,Salavat,46,43-080,63
33,Jay,Mstów,91,31-421,91
34,Fairfield,Winston Salem,10,55-555,59
35,Stone Corner,Mstsislaw,93,18-209,37
36,Blue Bill Park,Serra de Santa Marinha,24,11-321,39
37,Bartillon,Kallithéa,82,38-300,105
38,Reindahl,Zhiqing Songduo,28,55-555,118
39,Butternut,Río Grande,35,43-080,115
40,Dayton,Walichnowy,81,18-209,130
41,Onsgard,Wangda,68,11-321,62
42,Superior,Wolin,56,67-023,154
43,Di Loreto,Geldrop,80,38-300,137
44,Manitowish,Pasirhuni,2,67-023,69
45,Oak Valley,San Luis,7,22-446,70
46,Swallow,Kalianyar Selatan,47,67-023,33
47,Moose,Baomin,17,31-421,144
48,Coleman,La Ferté-Bernard,92,18-209,172
49,Susan,Banjing,67,22-446,174
50,Rigney,Jietou,43,18-209,12
51,Oakridge,Puerto Guzmán,96,22-446,54
52,Starling,Sangallaya,31,15-145,157
53,Darwin,Santa Lucia,17,12-123,4
54,Orin,Botlhapatlou,80,55-555,173
55,Fulton,Escola,81,11-123,124
56,Di Loreto,Borisovka,24,12-123,98
57,Alpine,Moquegua,43,11-321,122
58,Roxbury,Talzemt,50,43-080,142
59,Bay,Saladas,87,12-123,195
60,Elgar,Vanadzor,58,31-421,120
61,6th,Karangasem,36,12-123,144
62,Northport,Novosel’ye,55,18-209,16
63,Northfield,Heyan,10,55-555,122
64,Novick,Vetlanda,93,11-321,121
65,Fallview,Pacapausa,81,15-145,148
66,Thierer,Kamen,81,15-145,85
67,Karstens,Cidade Velha,61,55-555,158
68,Del Sol,Visby,14,43-080,69
69,Schlimgen,Melchor Ocampo,31,38-300,142
70,Jenna,Kaliasin,57,31-421,161
71,6th,Sunfang,95,18-209,141
72,Maywood,Kusŏng,86,12-123,153
73,Bartillon,Putatbasiun,98,22-446,22
74,Mcguire,Qingchuan,20,43-080,154
75,Clyde Gallagher,Novopokrovka,57,31-421,69
76,Southridge,Panglanjan,10,11-678,94
77,Jenna,Cikeper,26,18-209,157
78,Claremont,Calango,25,18-209,56
79,Banding,Nový Bor,48,38-300,28
80,Upham,Fichē,41,22-446,160
81,Hollow Ridge,Kademangan,56,11-321,170
82,Dunning,Pekuwon,15,43-080,44
83,Roth,Kebonkaret,15,11-456,175
84,Sachtjen,Guadalupe,35,22-446,142
85,Hovde,Sekolan,1,38-300,173
86,Fallview,Labo,23,38-300,48
87,Lien,Heiheba,61,11-456,187
88,Maple,Sincé,11,11-321,192
89,International,Quelimane,23,12-123,126
90,Eggendart,Houston,90,43-080,193
91,Saint Paul,Haninge,86,31-421,115
92,Loftsgordon,Niederwaldkirchen,65,18-209,66
93,Ridge Oak,Cipaku,59,67-023,10
94,Starling,Sindangsari,62,43-080,183
95,Bunting,Orsha,74,38-300,10
96,Bluejay,Eaton,59,18-209,19
97,High Crossing,Vanves,56,38-300,197
98,Claremont,Springfield,47,38-300,86
99,Logan,Anin,35,11-678,26
100,Forest Dale,Kímolos,18,55-555,13
101,Sunnyside,Huangzhawan,89,55-555,117
102,Northport,Marseille,72,12-123,2
103,Hooker,Penticton,74,11-321,182
104,Anzinger,Argelia,29,18-209,197
105,Merchant,Kuala Lumpur,53,11-123,144
106,Forster,Federal,81,11-321,11
107,Stoughton,Tunggar,3,15-145,131
108,Judy,Caseros,68,43-080,119
109,Bluestem,Sabunçu,92,11-678,97
110,Anzinger,Kilifi,93,67-023,86
111,Lillian,Compiègne,62,12-123,178
112,Towne,Daraitan,75,55-555,13
113,Dottie,Tasböget,52,43-080,114
114,Brown,Atsipópoulon,12,11-321,13
115,New Castle,El Coco,24,12-123,113
116,Hoepker,Americana,54,38-300,120
117,Novick,Oskarshamn,29,12-123,109
118,Northfield,Fernández,45,31-421,107
119,Sheridan,Montpellier,16,31-421,79
120,Service,Pakis,61,11-123,118
121,Lakewood Gardens,San Miguel,76,22-446,83
122,Pennsylvania,Ríohacha,94,12-123,156
123,Ruskin,Okayama-shi,73,11-123,64
124,Summer Ridge,Cholet,82,11-321,198
125,Sommers,Talghar,61,18-209,189
126,Shasta,Eha Amufu,5,22-446,90
127,Fulton,Gondanglegi Wetan,65,55-555,73
128,Lunder,Khrenovoye,71,18-209,179
129,Jenna,Tan-Tan,52,38-300,8
130,Tennyson,Kamimaruko,9,18-209,132
131,Anhalt,Trzciana,26,11-123,153
132,Fuller,Muara Sabak,99,43-080,20
133,Coolidge,Murów,19,55-555,34
134,Blue Bill Park,Luowan,43,11-321,116
135,International,Las Americas,14,18-209,107
136,Tennessee,Krueng Luak,1,11-678,90
137,Laurel,Nguékhokh,65,38-300,187
138,Claremont,Kuala Tuha,27,67-023,33
139,Garrison,Kalianget,34,43-080,15
140,Caliangt,Kaishantun,10,12-123,30
141,Banding,David,73,22-446,34
142,Ryan,Fuqiang,20,11-456,186
143,Clyde Gallagher,Dearborn,24,11-123,147
144,Badeau,Johanneshov,88,43-080,195
145,Fremont,Lulindi,27,12-123,193
146,Gulseth,Pilcuyo,31,22-446,33
147,Towne,Daitōchō,29,22-446,197
148,Delladonna,Horní Lideč,37,15-145,33
149,Pawling,Petit Raffray,49,18-209,121
150,Mcguire,Liběšice,28,11-456,36
151,Ryan,Moscow,67,43-080,24
152,Cambridge,Cisalak,43,11-321,155
153,Prairieview,Jardim,17,11-123,52
154,Dorton,Lanyang,74,22-446,59
155,Morrow,Šavnik,49,55-555,96
156,Loftsgordon,Tanxi,60,11-321,193
157,Warrior,Achada,47,18-209,200
