id,streetName,city,buildingNr,postalCode,apartmentNr
1,Green,Wysoka,28,89-320,1
2,Clove,Cisaat,0,,2
3,Fordem,Tseel,56,,3
4,Declaration,As Suqaylibīyah,9335,,4
5,Moulton,Tinaquillo,944,,5
6,Del Mar,Lidong,99414,,6
7,Cambridge,Hōfu,331,747-1111,7
8,Morrow,Xiaba,12,,8
9,Maywood,Poconé,78262,78175-000,9
10,Drewry,Kannus,5159,69101,10
11,Lawn,Batukuta,0,,11
12,Banding,Villa Ángela,3891,3540,12
13,Kings,Firenze,35270,50124,13
14,Crowley,Amieirinha,79085,2430-024,14
15,Ronald Regan,Osielec,265,34-234,15
16,Jenifer,Kertamukti,3361,,16
17,Paget,Tumba,7,147 42,17
18,Memorial,Guararema,1,08900-000,18
19,Northland,Castanheira,99308,4615-310,19
20,Maple,Vovchans’k,630,,20
21,Hayes,Arboga,8205,732 24,21
22,Nevada,Wenshui,12301,,22
23,Holmberg,Shuanghe,37330,,23
24,John Wall,Rogowo,791,88-420,24
25,Duke,Dalubian,11,,25
26,Valley Edge,Sindanghayu,161,,26
27,Arizona,Tabant,367,,27
28,Lien,Hucun,144,,28
29,Ronald Regan,Fruitvale,96592,K2H,29
30,Merchant,Baisha,614,,30
31,Tomscot,Votorantim,8,18110-000,31
32,Sherman,Borok,329,152743,32
33,Swallow,Dzhalilabad,1,,33
34,Banding,Johanneshov,06,121 12,34
35,Memorial,Sorochuco,67,,35
36,Rowland,Jayaraga Kaler,1830,,36
37,Esker,Butha-Buthe,464,,37
38,Kenwood,Doyong,540,2419,38
39,Hoard,Shangjia,880,,39
40,Longview,Zhangzhu,2646,,40
41,Ruskin,Donnycarney,16,D17,41
42,Elka,Xuefeng,88811,,42
43,Anthes,Huashixia,077,,43
44,Lerdahl,Tartouss,9,,44
45,Jay,Huangpu,07,,45
46,Memorial,Jevišovice,863,671 53,46
47,Coleman,Tamano,6,976-0154,47
48,Fuller,Oesao,4370,,48
49,Hoard,Matamey,99,,49
50,Lakeland,Lantang,07,,50
51,Tomscot,Mata-Utu,7557,98600,51
52,Beilfuss,Wajir,43,,52
53,Melvin,Cerinza,31,150627,53
54,Heath,Gouménissa,412,,54
55,Melby,George Town,64318,,55
56,Russell,Villa Paula de Sarmiento,1388,5413,56
57,Oneill,Concepción del Bermejo,78238,5250,57
58,Warner,Goroka,1386,,58
59,Hoard,Iracemápolis,604,13495-000,59
60,Darwin,Mrozy,07854,05-320,60
61,Northwestern,Jiqu,443,,61
62,Loftsgordon,Ludvika,3,771 24,62
63,Spenser,Bayang,78,,63
64,Marcy,Ādaži,8,,64
65,Glendale,Elekmonar,48018,649234,65
66,Crescent Oaks,Piedra Blanca,9874,11506,66
67,Bayside,Kaolack,9,,67
68,Waywood,Dijon,5363,21083 CEDEX 9,68
69,Dexter,Dachang,91120,,69
70,Pankratz,Jianggu,27,,70
71,Kings,Tawaran,48823,,71
72,Trailsway,Tabu,5073,6122,72
73,Tomscot,Baicaogou,0,,73
74,Stuart,Kantemirovka,3,396730,74
75,Hooker,Miami Beach,04,33141,75
76,Raven,Lomintsevskiy,9133,301573,76
77,New Castle,Bukui,9611,,77
78,Texas,Aroroy,017,5414,78
79,Garrison,Triolet,942,,79
80,Forest Dale,Fuling,12,,80
81,Granby,Praia de Mira,220,3070-725,81
82,Clarendon,Triwil,80668,,82
83,Village,Vuhlehirs’k,4,,83
84,Starling,Yŏnan-ŭp,63,,84
85,Havey,Ligonggang,3333,,85
86,Randy,Krajan,86,,86
87,Cascade,Osasco,5184,06000-000,87
88,Darwin,São Cristóvão,8,49100-000,88
89,Northridge,Bandong,0,,89
90,Everett,Granja do Tedo,941,5120-165,90
91,Mayer,Nisí,3,,91
92,Fulton,Nigel,2636,1590,92
93,Scofield,Xinghe Chengguanzhen,59833,,93
94,Nelson,Varnsdorf,04,407 47,94
95,Glendale,Makungu,439,,95
96,Oxford,Daciyao,46221,,96
97,High Crossing,Malya,222,,97
98,Green Ridge,Maoshan,74318,,98
99,Texas,Houmt Souk,9,,99
100,Daystar,Guimbal,192,5022,100
101,Kenwood,Cangkreng,4,,101
102,Acker,Červená Voda,94,561 61,102
103,Almo,Fort Beaufort,1,5730,103
104,Graedel,Itumbiara,842,75500-000,104
105,Warrior,Mozhaysk,6,155126,105
106,Charing Cross,Aoufous,2,,106
107,Bellgrove,Asyūţ,0,,107
108,Barby,Bruxelles,281,1170,108
109,Eagan,Sofádes,63,,109
110,Hollow Ridge,Umeå,905,901 02,110
111,Northport,Nawal,0108,,111
112,Cottonwood,Bangshipu,7367,,112
113,Vernon,Kuala Lumpur,882,50990,113
114,Prairieview,‘Anātā,7,,114
115,Truax,Requena,77,,115
116,Novick,Kendal,68,,116
117,Michigan,Segoro,6,,117
118,Gerald,Luhyny,75,,118
119,Brickson Park,Almeria,3065,6544,119
120,Carioca,Paratunka,74,659642,120
121,Anniversary,Itaitinga,55,61880-000,121
122,Laurel,Babakantonggoh,66824,,122
123,Arizona,Bayt Wazan,4406,,123
124,Anhalt,Idvor,4681,,124
125,Twin Pines,Senlis,9428,60309 CEDEX,125
126,Granby,Huangsha,6062,,126
127,Banding,Cavadas,3,4505-569,127
128,Manufacturers,Jubao,9,,128
129,Hagan,Volkhovskiy,8,173501,129
130,Kenwood,Patabog,102,2200,130
131,Ludington,Karangdalam,784,,131
132,Killdeer,Dongxin,46417,,132
133,Victoria,Guwoterus,17367,,133
134,Bonner,‘Afula ‘Illit,51037,,134
135,Old Gate,Gandra,049,4585-067,135
136,Fallview,Stockholm,0,112 40,136
137,Tennessee,Leworook,5737,,137
138,Morningstar,Chezhan,0,,138
139,Rutledge,Almodôvar,8,7700-015,139
140,Dennis,Xingguo,25167,,140
141,Red Cloud,Hengjie,4,,141
142,Dakota,Perlez,6,,142
143,North,Västra Frölunda,83,421 10,143
144,Mifflin,Aksu,82701,,144
145,6th,Dakingari,9,,145
146,Ronald Regan,Poitiers,09382,86020 CEDEX,146
147,Sherman,Kotkot,90511,6612,147
148,Forest Run,Pangpang,70315,1681,148
149,Northwestern,Khatsyezhyna,42594,,149
150,Quincy,Harian,93537,,150
151,Bonner,Krajan Joho,101,,151
152,Longview,Zhulebino,7,140074,152
153,Center,Baisangguan,36,,153
154,Rieder,Lyaskovets,4947,5145,154
155,Sutteridge,Chaiyo,41,14140,155
156,Sunbrook,Cha’anpu,7380,,156
157,Luster,Helixi,43,,157
158,Bunting,Baiyun,9502,,158
